fpr,tpr,threshold
0.0,0.0,inf
0.0,0.017857142857142856,0.9805424368361666
0.0,0.8392857142857143,0.5815259556332901
0.022727272727272728,0.8392857142857143,0.5434537469656785
0.022727272727272728,0.9107142857142857,0.4813741593196156
0.045454545454545456,0.9107142857142857,0.4595064072499054
0.045454545454545456,0.9285714285714286,0.4541317821171789
0.06818181818181818,0.9285714285714286,0.4432945779277498
0.06818181818181818,0.9642857142857143,0.3919299060422733
0.20454545454545456,0.9642857142857143,0.3532548500048075
0.20454545454545456,0.9821428571428571,0.3390639424258064
0.22727272727272727,0.9821428571428571,0.3370138954716539
0.22727272727272727,1.0,0.333392962043884
1.0,1.0,0.0343986220052017
