recall,precision,threshold
1.0,0.56,0.0343986220052017
1.0,0.5656565656565656,0.0443858001226034
1.0,0.5714285714285714,0.0616539134466732
1.0,0.5773195876288659,0.067535907483785
1.0,0.5833333333333334,0.0685869246308145
1.0,0.5894736842105263,0.0959387779732849
1.0,0.5957446808510638,0.0961525816865667
1.0,0.6021505376344086,0.1077670455014623
1.0,0.6086956521739131,0.1135769732526367
1.0,0.6153846153846154,0.125499659191502
1.0,0.6222222222222222,0.1327901214327579
1.0,0.6292134831460674,0.1343761410948502
1.0,0.6363636363636364,0.1536454700072753
1.0,0.6436781609195402,0.159377520333094
1.0,0.6511627906976745,0.1642916485213648
1.0,0.6588235294117647,0.1658104012585459
1.0,0.6666666666666666,0.1661962342804483
1.0,0.6746987951807228,0.1699958739594175
1.0,0.6829268292682927,0.1838768760882306
1.0,0.691358024691358,0.2020967664638769
1.0,0.7,0.203313881265596
1.0,0.7088607594936709,0.207729389165234
1.0,0.717948717948718,0.207734214505591
1.0,0.7272727272727273,0.2193544911847561
1.0,0.7368421052631579,0.2237663665214278
1.0,0.7466666666666667,0.2344736594858819
1.0,0.7567567567567568,0.2491194021961276
1.0,0.7671232876712328,0.2615158445906097
1.0,0.7777777777777778,0.2634084880828478
1.0,0.7887323943661971,0.2673316734797696
1.0,0.8,0.2983728426907024
1.0,0.8115942028985508,0.3055023511983206
1.0,0.8235294117647058,0.3225960385009868
1.0,0.835820895522388,0.3257956107307604
1.0,0.8484848484848485,0.333392962043884
0.9821428571428571,0.8461538461538461,0.3370138954716539
0.9821428571428571,0.859375,0.3390639424258064
0.9642857142857143,0.8571428571428571,0.3532548500048075
0.9642857142857143,0.8709677419354839,0.3579287927839609
0.9642857142857143,0.8852459016393442,0.3662241584833629
0.9642857142857143,0.9,0.3680479351839821
0.9642857142857143,0.9152542372881356,0.3855671372233749
0.9642857142857143,0.9310344827586207,0.3868863360183782
0.9642857142857143,0.9473684210526315,0.3919299060422733
0.9464285714285714,0.9464285714285714,0.3966597145697046
0.9285714285714286,0.9454545454545454,0.4432945779277498
0.9285714285714286,0.9629629629629629,0.4541317821171789
0.9107142857142857,0.9622641509433962,0.4595064072499054
0.9107142857142857,0.9807692307692307,0.4813741593196156
0.8928571428571429,0.9803921568627451,0.5148664087130397
0.875,0.98,0.5338395953442137
0.8571428571428571,0.9795918367346939,0.5390540201753489
0.8392857142857143,0.9791666666666666,0.5434537469656785
0.8392857142857143,1.0,0.5815259556332901
0.8214285714285714,1.0,0.5878151618819313
0.8035714285714286,1.0,0.6027072010026951
0.7857142857142857,1.0,0.6160869699678154
0.7678571428571429,1.0,0.6276956838705985
0.75,1.0,0.6447284351945167
0.7321428571428571,1.0,0.6536940404098422
0.7142857142857143,1.0,0.657646229013277
0.6964285714285714,1.0,0.6585488514276491
0.6785714285714286,1.0,0.664039887559433
0.6607142857142857,1.0,0.6693829101780214
0.6428571428571429,1.0,0.6713494572212239
0.625,1.0,0.684081758864464
0.6071428571428571,1.0,0.6845242132132241
0.5892857142857143,1.0,0.6895860864913979
0.5714285714285714,1.0,0.6955255418595557
0.5535714285714286,1.0,0.707925673143736
0.5357142857142857,1.0,0.7116978489082427
0.5178571428571429,1.0,0.7131278156773452
0.5,1.0,0.7212828312656074
0.48214285714285715,1.0,0.7247142755349301
0.4642857142857143,1.0,0.7249257077945208
0.44642857142857145,1.0,0.7261635117437982
0.42857142857142855,1.0,0.7280095396756684
0.4107142857142857,1.0,0.7322851655276931
0.39285714285714285,1.0,0.7342936438279122
0.375,1.0,0.738916560935646
0.35714285714285715,1.0,0.7390997818565588
0.3392857142857143,1.0,0.7465270367979419
0.32142857142857145,1.0,0.7472833944836003
0.30357142857142855,1.0,0.7604250221624397
0.2857142857142857,1.0,0.7639207957820935
0.26785714285714285,1.0,0.7652306850575336
0.25,1.0,0.7654261951384042
0.23214285714285715,1.0,0.769370657555962
0.21428571428571427,1.0,0.7717819684851042
0.19642857142857142,1.0,0.7854993601217873
0.17857142857142858,1.0,0.8088247269742654
0.16071428571428573,1.0,0.8505770661072206
0.14285714285714285,1.0,0.8688890220273552
0.125,1.0,0.8866087926804624
0.10714285714285714,1.0,0.8907092685328146
0.08928571428571429,1.0,0.8914463430902213
0.07142857142857142,1.0,0.8975784192987012
0.05357142857142857,1.0,0.926889674278677
0.03571428571428571,1.0,0.9509905103013654
0.017857142857142856,1.0,0.9805424368361666
0.0,1.0,
